noc_code,job_title,province,region_code,region_name,wage_low,wage_median,wage_high,wage_avg,Data_Source_E,ref_period,revision_date,is_annual,wage_comment
00010,Legislators,,ER00,Canada,31600.0,84000.0,184000.0,97600.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,NS,ER12,Nova Scotia,31935.0,94000.0,158000.0,94000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,NB,ER13,New Brunswick,34800.0,68000.0,150000.0,78000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,QC,ER24,Quebec,41200.0,96000.0,184000.0,102800.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,QC,ER2435,Montérégie,38000.0,97000.0,200000.0,112000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,QC,ER2440,Montréal,65500.0,116000.0,184000.0,119000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,ON,ER35,Ontario,35320.0,80000.0,186000.0,98600.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,ON,ER3510,Ottawa,56800.0,118000.0,198000.0,123000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,ON,ER3530,Toronto,50000.0,119000.0,204000.0,126400.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,ON,ER3540,Kitchener--Waterloo--Barrie,35320.0,82000.0,176000.0,94000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,ON,ER3595,Northwest,35320.0,52800.0,95000.0,50400.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,MB,ER46,Manitoba,33287.0,70000.0,154000.0,88000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,SK,ER47,Saskatchewan,31691.0,73500.0,154000.0,88800.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,AB,ER48,Alberta,34800.0,93000.0,192000.0,106400.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,AB,ER4860,Edmonton,40400.0,126000.0,190000.0,122000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,AB,ER4870,Athabasca--Grande Prairie--Peace River,32867.0,75000.0,128000.0,79000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,BC,ER59,British Columbia,35592.0,76000.0,166000.0,87600.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,BC,ER5910,Vancouver Island and Coast,35592.0,72500.0,132000.0,76500.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00010,Legislators,BC,ER5920,Lower Mainland,35592.0,87000.0,184000.0,104000.0,2021 Census,2021,2023-11-29,1,Wages for this occupation are presented at an annual rate to better represent earnings for this occupation.
00011,Senior government managers and officials,,ER00,Canada,28.03,57.0,92.86,60.09,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,NL,ER10,Newfoundland and Labrador,28.66,50.93,80.24,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,PE,ER1110,Prince Edward Island,42.63,57.18,99.22,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NS,ER1210,Cape Breton,45.32,60.29,93.86,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NS,ER1220,North Shore,47.6,62.35,96.21,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NS,ER1250,Halifax,53.71,69.05,108.67,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NB,ER13,New Brunswick,40.71,64.62,87.0,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NB,ER1310,Campbellton--Miramichi,44.97,56.37,97.47,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NB,ER1320,Moncton--Richibucto,49.3,58.81,97.97,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,QC,ER24,Quebec,28.03,47.5,73.33,49.65,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,ON,ER35,Ontario,20.0,65.76,96.63,63.72,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,ON,ER3510,Ottawa,30.77,66.67,84.62,61.92,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,MB,ER46,Manitoba,34.36,62.56,83.6,57.77,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,MB,ER4650,Winnipeg,45.13,67.31,83.6,67.08,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,SK,ER47,Saskatchewan,32.25,45.58,84.81,54.4,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,AB,ER48,Alberta,39.23,72.12,100.0,70.58,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,BC,ER59,British Columbia,34.72,57.17,135.9,73.6,Labour Force Survey,2021-2022,2023-11-29,0,
00011,Senior government managers and officials,YK,ER6010,Yukon Territory,58.7,76.05,115.38,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NT,ER6110,Northwest Territories,56.4,77.1,127.03,,Small Area Estimation,2022,2023-11-29,0,
00011,Senior government managers and officials,NU,ER6210,Nunavut,68.15,86.96,133.64,,Small Area Estimation,2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",,ER00,Canada,43.96,84.13,131.12,85.73,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",NL,ER10,Newfoundland and Labrador,41.21,76.92,104.9,71.62,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",NS,ER12,Nova Scotia,43.85,72.12,96.15,69.78,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",NB,ER13,New Brunswick,31.15,72.12,100.96,68.48,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",QC,ER24,Quebec,30.0,81.73,132.21,82.0,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",QC,ER2435,Montérégie,48.13,91.35,117.95,86.42,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",QC,ER2440,Montréal,30.0,72.12,132.21,78.13,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",ON,ER35,Ontario,44.0,84.13,137.36,86.96,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",ON,ER3510,Ottawa,57.14,89.74,144.23,97.34,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",ON,ER3515,Kingston--Pembroke,48.08,72.12,98.9,72.98,Labour Force Survey,2021-2022,2023-11-29,0,
00012,"Senior managers - financial, communications and other business services",ON,ER3530,Toronto,46.9,85.47,138.46,88.85,Labour Force Survey,2021-2022,2023-11-29,0,
